snapshot_date,commissioning_month,size_segment,plant_count,unit_count,power_gw,energy_gwh,median_duration_hours,network_verified_plant_count,period_complete
2026-06-30,1996-10-01,overall,1,1,0.00000676,0.000007,1.035502959,0,true
2026-06-30,1996-10-01,small,1,1,0.00000676,0.000007,1.035502959,0,true
2026-06-30,1997-05-01,overall,1,1,0.000005,0.000005,1,0,true
2026-06-30,1997-05-01,small,1,1,0.000005,0.000005,1,0,true
2026-06-30,1998-10-01,overall,1,1,0.0000046,0.0000132,2.869565217,1,true
2026-06-30,1998-10-01,small,1,1,0.0000046,0.0000132,2.869565217,1,true
2026-06-30,1999-01-01,overall,2,2,0.000011,0.0000208,5.54,2,true
2026-06-30,1999-01-01,small,2,2,0.000011,0.0000208,5.54,2,true
2026-06-30,1999-04-01,overall,1,1,0.000002,0.000005,2.5,0,true
2026-06-30,1999-04-01,small,1,1,0.000002,0.000005,2.5,0,true
2026-06-30,1999-10-01,overall,1,1,0.000004,0.000004,1,1,true
2026-06-30,1999-10-01,small,1,1,0.000004,0.000004,1,1,true
2026-06-30,2000-01-01,overall,4,4,0.00002264,0.00002753,0.999462943,3,true
2026-06-30,2000-01-01,small,4,4,0.00002264,0.00002753,0.999462943,3,true
2026-06-30,2000-04-01,overall,1,1,0.0000015,0.0000015,1,0,true
2026-06-30,2000-04-01,small,1,1,0.0000015,0.0000015,1,0,true
2026-06-30,2000-05-01,overall,1,1,0.0000015,0.0000015,1,1,true
2026-06-30,2000-05-01,small,1,1,0.0000015,0.0000015,1,1,true
2026-06-30,2000-06-01,overall,1,1,0.000008,0.0000093,1.1625,0,true
2026-06-30,2000-06-01,small,1,1,0.000008,0.0000093,1.1625,0,true
2026-06-30,2000-07-01,overall,3,3,0.000004175,0.00001227,2.4,2,true
2026-06-30,2000-07-01,small,3,3,0.000004175,0.00001227,2.4,2,true
2026-06-30,2000-10-01,overall,1,1,0.0000072,0.00000512,0.711111111,1,true
2026-06-30,2000-10-01,small,1,1,0.0000072,0.00000512,0.711111111,1,true
2026-06-30,2000-11-01,overall,1,1,0.0000032,0.0000049,1.53125,1,true
2026-06-30,2000-11-01,small,1,1,0.0000032,0.0000049,1.53125,1,true
2026-06-30,2001-02-01,overall,1,1,0.000004,0.0000098,2.45,0,true
2026-06-30,2001-02-01,small,1,1,0.000004,0.0000098,2.45,0,true
2026-06-30,2001-03-01,overall,1,1,0.00000563,0.0000138,2.451154529,1,true
2026-06-30,2001-03-01,small,1,1,0.00000563,0.0000138,2.451154529,1,true
2026-06-30,2001-05-01,overall,1,1,0.000006012,0.0000088,1.463739188,0,true
2026-06-30,2001-05-01,small,1,1,0.000006012,0.0000088,1.463739188,0,true
2026-06-30,2001-06-01,overall,1,1,0.00000144,0.00000144,1,1,true
2026-06-30,2001-06-01,small,1,1,0.00000144,0.00000144,1,1,true
2026-06-30,2001-07-01,overall,3,3,0.00000828,0.00002312,1.92481203,2,true
2026-06-30,2001-07-01,small,3,3,0.00000828,0.00002312,1.92481203,2,true
2026-06-30,2001-08-01,overall,1,1,0.000005,0.0000115,2.3,1,true
2026-06-30,2001-08-01,small,1,1,0.000005,0.0000115,2.3,1,true
2026-06-30,2001-10-01,overall,1,1,0.0000008,0.0000016,2,0,true
2026-06-30,2001-10-01,small,1,1,0.0000008,0.0000016,2,0,true
2026-06-30,2001-11-01,overall,1,1,0.000004,0.00001,2.5,0,true
2026-06-30,2001-11-01,small,1,1,0.000004,0.00001,2.5,0,true
2026-06-30,2001-12-01,overall,2,2,0.0000038,0.00002659,7.119444444,2,true
2026-06-30,2001-12-01,small,2,2,0.0000038,0.00002659,7.119444444,2,true
