Jahr,Anzahl_Index,Energie_Index,Anzahl,Leistung_GW,Energie_GWh
2019,7.354226452,7.438527198,42157,0.262543361,0.459590626
2020,15.131141678,14.385957557,86737,0.517392896,0.888838753
2021,24.739940862,22.40141118,141818,0.808713795,1.384074873
2022,38.361405008,42.495236238,219901,1.71411519,2.625575158
2023,105.882229801,98.632807474,606954,3.963557342,6.094044227
2024,100,100,573235,4.027771587,6.178516442
2025,97.519516429,108.682791865,559016,3.935268849,6.714984165
