Jahr,Klein_GWh,Mittel_GWh,Gross_GWh
2019,0.345624518,0.03210927,0.081737
2020,0.741562321,0.057601637,0.0904114
2021,1.253557731,0.0808497,0.050847
2022,1.967166497,0.117634137,0.54412872
2023,5.552090529,0.244862058,0.311616752
2024,5.057128882,0.314970178,0.827139801
2025,4.585800078,0.437808885,1.73595459
