snapshot_date,commissioning_month,size_segment,plant_count,unit_count,power_gw,energy_gwh,median_duration_hours,network_verified_plant_count,period_complete
2026-09-11,1998-08-01,overall,1,1,0.000004,0.00000947,2.3675,0,true
2026-09-11,1998-08-01,small,1,1,0.000004,0.00000947,2.3675,0,true
2026-09-11,1998-10-01,overall,1,1,0.0000046,0.0000132,2.869565217,1,true
2026-09-11,1998-10-01,small,1,1,0.0000046,0.0000132,2.869565217,1,true
2026-09-11,1999-01-01,overall,2,2,0.000011,0.0000208,5.54,2,true
2026-09-11,1999-01-01,small,2,2,0.000011,0.0000208,5.54,2,true
2026-09-11,1999-04-01,overall,1,1,0.000002,0.000005,2.5,0,true
2026-09-11,1999-04-01,small,1,1,0.000002,0.000005,2.5,0,true
2026-09-11,1999-10-01,overall,1,1,0.000004,0.000004,1,1,true
2026-09-11,1999-10-01,small,1,1,0.000004,0.000004,1,1,true
2026-09-11,2000-01-01,overall,4,4,0.00002264,0.00002753,0.999462943,2,true
2026-09-11,2000-01-01,small,4,4,0.00002264,0.00002753,0.999462943,2,true
2026-09-11,2000-04-01,overall,1,1,0.0000015,0.0000015,1,0,true
2026-09-11,2000-04-01,small,1,1,0.0000015,0.0000015,1,0,true
2026-09-11,2000-05-01,overall,1,1,0.0000015,0.0000015,1,1,true
2026-09-11,2000-05-01,small,1,1,0.0000015,0.0000015,1,1,true
2026-09-11,2000-06-01,overall,1,1,0.000008,0.0000093,1.1625,0,true
2026-09-11,2000-06-01,small,1,1,0.000008,0.0000093,1.1625,0,true
2026-09-11,2000-07-01,overall,3,3,0.000004175,0.00001227,2.4,2,true
2026-09-11,2000-07-01,small,3,3,0.000004175,0.00001227,2.4,2,true
2026-09-11,2000-10-01,overall,1,1,0.0000072,0.00000512,0.711111111,1,true
2026-09-11,2000-10-01,small,1,1,0.0000072,0.00000512,0.711111111,1,true
2026-09-11,2000-11-01,overall,1,1,0.0000032,0.0000049,1.53125,1,true
2026-09-11,2000-11-01,small,1,1,0.0000032,0.0000049,1.53125,1,true
2026-09-11,2001-01-01,overall,1,1,0.000006,0.00000675,1.125,0,true
2026-09-11,2001-01-01,small,1,1,0.000006,0.00000675,1.125,0,true
2026-09-11,2001-02-01,overall,1,1,0.000004,0.0000098,2.45,0,true
2026-09-11,2001-02-01,small,1,1,0.000004,0.0000098,2.45,0,true
2026-09-11,2001-03-01,overall,1,1,0.00000563,0.0000138,2.451154529,1,true
2026-09-11,2001-03-01,small,1,1,0.00000563,0.0000138,2.451154529,1,true
2026-09-11,2001-06-01,overall,1,1,0.00000144,0.00000144,1,1,true
2026-09-11,2001-06-01,small,1,1,0.00000144,0.00000144,1,1,true
2026-09-11,2001-07-01,overall,3,3,0.00000828,0.00002312,1.92481203,2,true
2026-09-11,2001-07-01,small,3,3,0.00000828,0.00002312,1.92481203,2,true
2026-09-11,2001-08-01,overall,1,1,0.000005,0.0000115,2.3,1,true
2026-09-11,2001-08-01,small,1,1,0.000005,0.0000115,2.3,1,true
2026-09-11,2001-10-01,overall,1,1,0.0000008,0.0000016,2,0,true
2026-09-11,2001-10-01,small,1,1,0.0000008,0.0000016,2,0,true
2026-09-11,2001-11-01,overall,1,1,0.000004,0.00001,2.5,0,true
2026-09-11,2001-11-01,small,1,1,0.000004,0.00001,2.5,0,true
2026-09-11,2001-12-01,overall,2,2,0.0000038,0.00002659,7.119444444,2,true
2026-09-11,2001-12-01,small,2,2,0.0000038,0.00002659,7.119444444,2,true
2026-09-11,2002-01-01,overall,1,1,0.00000168,0.00000168,1,1,true
2026-09-11,2002-01-01,small,1,1,0.00000168,0.00000168,1,1,true
2026-09-11,2002-02-01,medium,1,1,0.00006,0.000144,2.4,1,true
2026-09-11,2002-02-01,overall,1,1,0.00006,0.000144,2.4,1,true
2026-09-11,2002-06-01,overall,2,2,0.00000713,0.00000713,1,2,true
2026-09-11,2002-06-01,small,2,2,0.00000713,0.00000713,1,2,true
2026-09-11,2002-07-01,overall,2,2,0.00001357,0.00003,2.217656012,0,true
2026-09-11,2002-07-01,small,2,2,0.00001357,0.00003,2.217656012,0,true
2026-09-11,2002-08-01,overall,1,1,0.000003,0.0000065,2.166666667,1,true
2026-09-11,2002-08-01,small,1,1,0.000003,0.0000065,2.166666667,1,true
2026-09-11,2002-09-01,overall,1,1,0.00001638,0.0000158,0.964590965,0,true
2026-09-11,2002-09-01,small,1,1,0.00001638,0.0000158,0.964590965,0,true
2026-09-11,2002-10-01,overall,2,2,0.00001479,0.00001854,1.5,1,true
2026-09-11,2002-10-01,small,2,2,0.00001479,0.00001854,1.5,1,true
2026-09-11,2002-11-01,overall,1,1,0.0000077,0.0000077,1,0,true
2026-09-11,2002-11-01,small,1,1,0.0000077,0.0000077,1,0,true
2026-09-11,2002-12-01,overall,3,3,0.00003,0.0000406,1.38,1,true
2026-09-11,2002-12-01,small,3,3,0.00003,0.0000406,1.38,1,true
2026-09-11,2003-01-01,overall,3,3,0.0000118,0.0000341,3.08,1,true
2026-09-11,2003-01-01,small,3,3,0.0000118,0.0000341,3.08,1,true
2026-09-11,2003-06-01,overall,1,1,0.0000042,0.0000042,1,0,true
2026-09-11,2003-06-01,small,1,1,0.0000042,0.0000042,1,0,true
2026-09-11,2003-07-01,overall,1,1,0.000007,0.00001166,1.665714286,0,true
2026-09-11,2003-07-01,small,1,1,0.000007,0.00001166,1.665714286,0,true
2026-09-11,2003-08-01,overall,1,1,0.000008,0.000015,1.875,1,true
2026-09-11,2003-08-01,small,1,1,0.000008,0.000015,1.875,1,true
2026-09-11,2003-09-01,overall,1,1,0.00001,0.00001026,1.026,0,true
2026-09-11,2003-09-01,small,1,1,0.00001,0.00001026,1.026,0,true
2026-09-11,2003-10-01,overall,2,2,0.00000626,0.00002112,3.162162162,2,true
2026-09-11,2003-10-01,small,2,2,0.00000626,0.00002112,3.162162162,2,true
2026-09-11,2003-11-01,overall,1,1,0.00001024,0.00001024,1,1,true
2026-09-11,2003-11-01,small,1,1,0.00001024,0.00001024,1,1,true
2026-09-11,2003-12-01,overall,1,1,0.00001,0.00001,1,0,true
2026-09-11,2003-12-01,small,1,1,0.00001,0.00001,1,0,true
2026-09-11,2004-02-01,overall,2,2,0.000012125,0.00001512,1.213797909,2,true
2026-09-11,2004-02-01,small,2,2,0.000012125,0.00001512,1.213797909,2,true
2026-09-11,2004-03-01,overall,3,3,0.0000151,0.0000221,1.304347826,3,true
2026-09-11,2004-03-01,small,3,3,0.0000151,0.0000221,1.304347826,3,true
2026-09-11,2004-04-01,overall,4,4,0.0000317,0.00003995,1.281779661,0,true
2026-09-11,2004-04-01,small,4,4,0.0000317,0.00003995,1.281779661,0,true
2026-09-11,2004-05-01,overall,3,3,0.0000175,0.000027,1.6,2,true
2026-09-11,2004-05-01,small,3,3,0.0000175,0.000027,1.6,2,true
2026-09-11,2004-06-01,overall,2,2,0.00001476,0.00001768,1.193047337,2,true
2026-09-11,2004-06-01,small,2,2,0.00001476,0.00001768,1.193047337,2,true
2026-09-11,2004-07-01,overall,4,4,0.000020795,0.00002397,1.05751634,1,true
2026-09-11,2004-07-01,small,4,4,0.000020795,0.00002397,1.05751634,1,true
2026-09-11,2004-08-01,overall,3,3,0.0000175,0.0000397,2.857142857,1,true
2026-09-11,2004-08-01,small,3,3,0.0000175,0.0000397,2.857142857,1,true
2026-09-11,2004-09-01,overall,2,2,0.0000253,0.0000253,1,0,true
2026-09-11,2004-09-01,small,2,2,0.0000253,0.0000253,1,0,true
2026-09-11,2004-10-01,overall,4,4,0.0000255,0.00005055,2.06547619,3,true
2026-09-11,2004-10-01,small,4,4,0.0000255,0.00005055,2.06547619,3,true
2026-09-11,2004-11-01,overall,2,2,0.0000099,0.0000226,2.862318841,0,true
2026-09-11,2004-11-01,small,2,2,0.0000099,0.0000226,2.862318841,0,true
2026-09-11,2004-12-01,overall,4,4,0.00001776,0.00002588,1.11686747,2,true
2026-09-11,2004-12-01,small,4,4,0.00001776,0.00002588,1.11686747,2,true
2026-09-11,2005-01-01,overall,2,2,0.0000142,0.00002256,1.454347826,0,true
2026-09-11,2005-01-01,small,2,2,0.0000142,0.00002256,1.454347826,0,true
2026-09-11,2005-02-01,overall,1,1,0.0000005,0.0000058,11.6,1,true
2026-09-11,2005-02-01,small,1,1,0.0000005,0.0000058,11.6,1,true
2026-09-11,2005-03-01,overall,4,4,0.0000283,0.00003432,1.068047337,0,true
2026-09-11,2005-03-01,small,4,4,0.0000283,0.00003432,1.068047337,0,true
2026-09-11,2005-04-01,overall,3,3,0.0000135,0.00001405,1.003921569,0,true
2026-09-11,2005-04-01,small,3,3,0.0000135,0.00001405,1.003921569,0,true
2026-09-11,2005-05-01,overall,3,3,0.0000187,0.0000263,1.523809524,1,true
2026-09-11,2005-05-01,small,3,3,0.0000187,0.0000263,1.523809524,1,true
2026-09-11,2005-06-01,overall,3,3,0.00001708,0.00002765,1.3,3,true
2026-09-11,2005-06-01,small,3,3,0.00001708,0.00002765,1.3,3,true
2026-09-11,2005-07-01,overall,4,4,0.00002596,0.0000418,1.829166667,2,true
2026-09-11,2005-07-01,small,4,4,0.00002596,0.0000418,1.829166667,2,true
2026-09-11,2005-08-01,overall,5,5,0.00002785,0.000033917,1,2,true
2026-09-11,2005-08-01,small,5,5,0.00002785,0.000033917,1,2,true
2026-09-11,2005-09-01,overall,2,2,0.0000081,0.000017,2.086956522,0,true
